par_id,exp_dep,age_dep,seasforc_width_wks,R0,seasforce_peak,omega,const_delta
12670,1.375,0.375,7,1,0.75,0.002857142857142857,2.0093685326971777
12697,1,0.5,7,1,0.75,0.002857142857142857,2.037409943150725
12710,0.75,0.5625,7,1,0.75,0.002857142857142857,1.7355623301524459
12840,2,0.125,3,1.1,0.75,0.002857142857142857,1.0114159224583565
13065,2,0.125,5,1.1,0.75,0.002857142857142857,1.0114159224583565
13079,1.875,0.1875,5,1.1,0.75,0.002857142857142857,1.3645935627427437
13106,1.5,0.3125,5,1.1,0.75,0.002857142857142857,1.8782946791470734
13120,1.375,0.375,5,1.1,0.75,0.002857142857142857,2.2103053859668957
13134,1.25,0.4375,5,1.1,0.75,0.002857142857142857,2.4818175060987113
13147,1,0.5,5,1.1,0.75,0.002857142857142857,2.2411509374657976
13290,2,0.125,7,1.1,0.75,0.002857142857142857,1.0114159224583565
13359,1.25,0.4375,7,1.1,0.75,0.002857142857142857,2.4818175060987113
13515,2,0.125,3,1.2,0.75,0.002857142857142857,1.1033628245000253
13556,1.5,0.3125,3,1.2,0.75,0.002857142857142857,2.049048740887716
13740,2,0.125,5,1.2,0.75,0.002857142857142857,1.1033628245000253
14007,1.625,0.3125,7,1.2,0.75,0.002857142857142857,2.3918347912013562
14021,1.5,0.375,7,1.2,0.75,0.002857142857142857,2.8264191910169636
14217,1.625,0.25,3,1.3,0.75,0.002857142857142857,1.7978585262472206
14415,2,0.125,5,1.3,0.75,0.002857142857142857,1.195309726541694
14457,1.625,0.3125,5,1.3,0.75,0.002857142857142857,2.591154357134803
14471,1.5,0.375,5,1.3,0.75,0.002857142857142857,3.0619541236017107
14668,1.75,0.25,7,1.3,0.75,0.002857142857142857,2.090904827448476
15118,1.75,0.25,5,1.4,0.75,0.002857142857142857,2.2517436603291276
16214,1.875,0.125,3,1,1,0.002857142857142857,0.7954176346437618
16229,1.875,0.1875,3,1,1,0.002857142857142857,1.2405396024934032
16241,1.5,0.25,3,1,1,0.002857142857142857,1.1847678813361706
16243,1.75,0.25,3,1,1,0.002857142857142857,1.60838832880652
16283,1.125,0.4375,3,1,1,0.002857142857142857,1.9055129717569395
16297,1,0.5,3,1,1,0.002857142857142857,2.037409943150725
16310,0.75,0.5625,3,1,1,0.002857142857142857,1.7355623301524459
16323,0.5,0.625,3,1,1,0.002857142857142857,1.3952770390965175
16336,0.25,0.6875,3,1,1,0.002857142857142857,1.058938722427627
16439,1.875,0.125,5,1,1,0.002857142857142857,0.7954176346437618
16440,2,0.125,5,1,1,0.002857142857142857,0.9194690204166878
16454,1.875,0.1875,5,1,1,0.002857142857142857,1.2405396024934032
16468,1.75,0.25,5,1,1,0.002857142857142857,1.60838832880652
16481,1.5,0.3125,5,1,1,0.002857142857142857,1.7075406174064303
16482,1.625,0.3125,5,1,1,0.002857142857142857,1.9931956593344637
16495,1.375,0.375,5,1,1,0.002857142857142857,2.0093685326971777
16496,1.5,0.375,5,1,1,0.002857142857142857,2.35534932584747
16509,1.25,0.4375,5,1,1,0.002857142857142857,2.2561977328170104
16510,1.375,0.4375,5,1,1,0.002857142857142857,2.6572240926877795
16522,1,0.5,5,1,1,0.002857142857142857,2.037409943150725
16523,1.125,0.5,5,1,1,0.002857142857142857,2.426802963171583
16536,0.875,0.5625,5,1,1,0.002857142857142857,2.0962987742493375
16549,0.625,0.625,5,1,1,0.002857142857142857,1.7135310389483245
16561,0.25,0.6875,5,1,1,0.002857142857142857,1.058938722427627
16562,0.375,0.6875,5,1,1,0.002857142857142857,1.3253232792057597
16665,2,0.125,7,1,1,0.002857142857142857,0.9194690204166878
16721,1.5,0.375,7,1,1,0.002857142857142857,2.35534932584747
16722,1.625,0.375,7,1,1,0.002857142857142857,2.7493765036325977
16734,1.25,0.4375,7,1,1,0.002857142857142857,2.2561977328170104
16748,1.125,0.5,7,1,1,0.002857142857142857,2.426802963171583
16761,0.875,0.5625,7,1,1,0.002857142857142857,2.0962987742493375
16774,0.625,0.625,7,1,1,0.002857142857142857,1.7135310389483245
16890,2,0.125,3,1.1,1,0.002857142857142857,1.0114159224583565
16904,1.875,0.1875,3,1.1,1,0.002857142857142857,1.3645935627427437
16931,1.5,0.3125,3,1.1,1,0.002857142857142857,1.8782946791470734
16945,1.375,0.375,3,1.1,1,0.002857142857142857,2.2103053859668957
16959,1.25,0.4375,3,1.1,1,0.002857142857142857,2.4818175060987113
16972,1,0.5,3,1.1,1,0.002857142857142857,2.2411509374657976
16986,0.875,0.5625,3,1.1,1,0.002857142857142857,2.305928651674271
16999,0.625,0.625,3,1.1,1,0.002857142857142857,1.884884142843157
17011,0.25,0.6875,3,1.1,1,0.002857142857142857,1.16483259467039
17012,0.375,0.6875,3,1.1,1,0.002857142857142857,1.4578556071263358
17115,2,0.125,5,1.1,1,0.002857142857142857,1.0114159224583565
17129,1.875,0.1875,5,1.1,1,0.002857142857142857,1.3645935627427437
17157,1.625,0.3125,5,1.1,1,0.002857142857142857,2.1925152252679103
17158,1.75,0.3125,5,1.1,1,0.002857142857142857,2.5498895501728533
17171,1.5,0.375,5,1.1,1,0.002857142857142857,2.590884258432217
17172,1.625,0.375,5,1.1,1,0.002857142857142857,3.0243141539958573
17185,1.375,0.4375,5,1.1,1,0.002857142857142857,2.9229465019565577
17186,1.5,0.4375,5,1.1,1,0.002857142857142857,3.4262306594552165
17198,1.125,0.5,5,1.1,1,0.002857142857142857,2.669483259488741
17211,0.875,0.5625,5,1.1,1,0.002857142857142857,2.305928651674271
17224,0.625,0.625,5,1.1,1,0.002857142857142857,1.884884142843157
17237,0.375,0.6875,5,1.1,1,0.002857142857142857,1.4578556071263358
17382,1.625,0.3125,7,1.1,1,0.002857142857142857,2.1925152252679103
17396,1.5,0.375,7,1.1,1,0.002857142857142857,2.590884258432217
17397,1.625,0.375,7,1.1,1,0.002857142857142857,3.0243141539958573
17410,1.375,0.4375,7,1.1,1,0.002857142857142857,2.9229465019565577
17423,1.125,0.5,7,1.1,1,0.002857142857142857,2.669483259488741
17436,0.875,0.5625,7,1.1,1,0.002857142857142857,2.305928651674271
17462,0.375,0.6875,7,1.1,1,0.002857142857142857,1.4578556071263358
17565,2,0.125,3,1.2,1,0.002857142857142857,1.1033628245000253
17579,1.875,0.1875,3,1.2,1,0.002857142857142857,1.488647522992084
17634,1.25,0.4375,3,1.2,1,0.002857142857142857,2.7074372793804122
17648,1.125,0.5,3,1.2,1,0.002857142857142857,2.912163555805899
17661,0.875,0.5625,3,1.2,1,0.002857142857142857,2.515558529099205
17790,2,0.125,5,1.2,1,0.002857142857142857,1.1033628245000253
17803,1.75,0.1875,5,1.2,1,0.002857142857142857,1.2841578710410393
17819,1.875,0.25,5,1.2,1,0.002857142857142857,2.2374102334438137
17832,1.625,0.3125,5,1.2,1,0.002857142857142857,2.3918347912013562
17833,1.75,0.3125,5,1.2,1,0.002857142857142857,2.781697691097658
17846,1.5,0.375,5,1.2,1,0.002857142857142857,2.8264191910169636
17847,1.625,0.375,5,1.2,1,0.002857142857142857,3.299251804359117
17860,1.375,0.4375,5,1.2,1,0.002857142857142857,3.1886689112253355
17873,1.125,0.5,5,1.2,1,0.002857142857142857,2.912163555805899
17887,1,0.5625,5,1.2,1,0.002857142857142857,3.0162755439222173
17900,0.75,0.625,5,1.2,1,0.002857142857142857,2.5035468676686436
17912,0.375,0.6875,5,1.2,1,0.002857142857142857,1.5903879350469114
18058,1.75,0.3125,7,1.2,1,0.002857142857142857,2.781697691097658
18073,1.75,0.375,7,1.2,1,0.002857142857142857,3.8370213362127337
18085,1.375,0.4375,7,1.2,1,0.002857142857142857,3.1886689112253355
18240,2,0.125,3,1.3,1,0.002857142857142857,1.195309726541694
18282,1.625,0.3125,3,1.3,1,0.002857142857142857,2.591154357134803
18296,1.5,0.375,3,1.3,1,0.002857142857142857,3.0619541236017107
18323,1.125,0.5,3,1.3,1,0.002857142857142857,3.154843852123058
18480,2,0.1875,5,1.3,1,0.002857142857142857,1.8642144559500902
18493,1.75,0.25,5,1.3,1,0.002857142857142857,2.090904827448476
18508,1.75,0.3125,5,1.3,1,0.002857142857142857,3.0135058320224632
18522,1.625,0.375,5,1.3,1,0.002857142857142857,3.5741894547223767
18523,1.75,0.375,5,1.3,1,0.002857142857142857,4.156773114230462
18535,1.375,0.4375,5,1.3,1,0.002857142857142857,3.4543913204941132
18549,1.25,0.5,5,1.3,1,0.002857142857142857,3.735451635361348
18562,1,0.5625,5,1.3,1,0.002857142857142857,3.267631839249069
18575,0.75,0.625,5,1.3,1,0.002857142857142857,2.7121757733076977
18588,0.5,0.6875,5,1.3,1,0.002857142857142857,2.1354980102665206
18704,1.875,0.1875,7,1.3,1,0.002857142857142857,1.6127014832414244
18733,1.75,0.3125,7,1.3,1,0.002857142857142857,3.0135058320224632
18734,1.875,0.3125,7,1.3,1,0.002857142857142857,3.493377328073915
18747,1.625,0.375,7,1.3,1,0.002857142857142857,3.5741894547223767
18928,1.75,0.1875,3,1.4,1,0.002857142857142857,1.4981841828812124
18930,2,0.1875,3,1.4,1,0.002857142857142857,2.007615567946251
18957,1.625,0.3125,3,1.4,1,0.002857142857142857,2.790473923068249
18985,1.375,0.4375,3,1.4,1,0.002857142857142857,3.720113729762891
19139,1.875,0.125,5,1.4,1,0.002857142857142857,1.1135846885012666
19183,1.75,0.3125,5,1.4,1,0.002857142857142857,3.2453139729472675
19184,1.875,0.3125,5,1.4,1,0.002857142857142857,3.762098661002677
19197,1.625,0.375,5,1.4,1,0.002857142857142857,3.8491271050856364
19198,1.75,0.375,5,1.4,1,0.002857142857142857,4.4765248922481895
19224,1.25,0.5,5,1.4,1,0.002857142857142857,4.022794068850682
19237,1,0.5625,5,1.4,1,0.002857142857142857,3.51898813457592
19394,1.875,0.25,7,1.4,1,0.002857142857142857,2.610311939017783
19408,1.75,0.3125,7,1.4,1,0.002857142857142857,3.2453139729472675
19409,1.875,0.3125,7,1.4,1,0.002857142857142857,3.762098661002677
19422,1.625,0.375,7,1.4,1,0.002857142857142857,3.8491271050856364
19618,1.75,0.25,3,1.5,1,0.002857142857142857,2.4125824932097797
19633,1.75,0.3125,3,1.5,1,0.002857142857142857,3.4771221138720727
19844,1.875,0.25,5,1.5,1,0.002857142857142857,2.7967627918047673
19858,1.75,0.3125,5,1.5,1,0.002857142857142857,3.4771221138720727
19859,1.875,0.3125,5,1.5,1,0.002857142857142857,4.03081999393144
