agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
11,3,2954,1966519,1951340,0.9923
1,1,4064,412187,301232,0.7308
1,2,4064,43540,53145,1.2206
1,3,4064,791,859,1.0858
2,1,4064,199664,238752,1.1958
2,2,4064,90348,101783,1.1266
2,3,4064,3721,4071,1.0939
3,1,4064,88720,112888,1.2724
3,2,4064,100899,118855,1.178
3,3,4064,6678,7441,1.1144
4,1,4064,42047,58969,1.4025
4,2,4064,138016,153915,1.1152
4,3,4064,22959,26819,1.1681
5,1,4064,17150,25763,1.5022
5,2,4064,175664,224024,1.2753
5,3,4064,57657,72632,1.2597
6,1,4064,3685,5993,1.6262
6,2,4064,109375,148438,1.3571
6,3,4064,73547,96136,1.3071
7,1,4064,767,1339,1.7467
7,2,4064,62648,87730,1.4004
7,3,4064,79030,105512,1.3351
8,1,4064,192,359,1.8653
8,2,4064,74456,104861,1.4084
8,3,4064,960471,1310022,1.3639
9,1,4064,4,8,2
9,2,4064,9254,12880,1.3918
9,3,4064,909862,1254957,1.3793
10,1,4064,0,0,NA
10,2,4064,2309,3042,1.3174
10,3,4064,577412,801673,1.3884
11,1,4064,0,0,NA
11,2,4064,1585,2045,1.2902
11,3,4064,431167,600018,1.3916
1,1,4289,455274,388063,0.8524
1,2,4289,70684,79752,1.1283
1,3,4289,2468,2947,1.1943
2,1,4289,191497,259073,1.3529
2,2,4289,125494,126975,1.0118
2,3,4289,10573,12354,1.1685
3,1,4289,78986,110003,1.3927
3,2,4289,132916,149302,1.1233
3,3,4289,18221,21530,1.1816
4,1,4289,31512,45542,1.4452
4,2,4289,150234,173847,1.1572
4,3,4289,55271,64826,1.1729
5,1,4289,10233,15130,1.4786
5,2,4289,167992,213702,1.2721
5,3,4289,130902,168554,1.2876
6,1,4289,1635,2500,1.5289
6,2,4289,90129,121207,1.3448
6,3,4289,157229,209232,1.3307
7,1,4289,240,382,1.5951
7,2,4289,44497,62427,1.403
7,3,4289,162484,220494,1.357
8,1,4289,41,71,1.7161
8,2,4289,36967,53289,1.4415
8,3,4289,1782200,2444982,1.3719
9,1,4289,1,1,2
9,2,4289,3022,4441,1.4697
9,3,4289,1785965,2514956,1.4082
10,1,4289,0,0,NA
10,2,4289,324,453,1.3972
10,3,4289,1144050,1620610,1.4166
11,1,4289,0,0,NA
11,2,4289,164,224,1.3644
11,3,4289,858080,1218289,1.4198
1,1,4318,506038,349242,0.6901
1,2,4318,121443,75001,0.6176
1,3,4318,12441,11583,0.931
2,1,4318,156971,177282,1.1294
2,2,4318,165548,133214,0.8047
2,3,4318,39948,34465,0.8628
3,1,4318,58422,66464,1.1377
3,2,4318,149759,133551,0.8918
3,3,4318,57974,52011,0.8971
4,1,4318,19976,23669,1.1849
4,2,4318,137337,137321,0.9999
4,3,4318,128739,105395,0.8187
5,1,4318,5768,6938,1.2029
5,2,4318,131978,135176,1.0242
5,3,4318,253084,238731,0.9433
6,1,4318,780,959,1.2283
6,2,4318,62420,65225,1.0449
6,3,4318,260422,256898,0.9865
7,1,4318,91,115,1.2557
7,2,4318,28408,30417,1.0707
7,3,4318,238573,242809,1.0178
8,1,4318,11,14,1.3277
8,2,4318,22719,25778,1.1347
8,3,4318,2375264,2440491,1.0275
9,1,4318,0,0,NA
9,2,4318,1880,2147,1.1419
9,3,4318,2210060,2385293,1.0793
10,1,4318,0,0,NA
10,2,4318,280,289,1.0318
10,3,4318,1263711,1377209,1.0898
11,1,4318,0,0,NA
11,2,4318,272,259,0.9529
11,3,4318,843672,923930,1.0951
1,1,4529,505316,219779,0.4349
1,2,4529,101670,47449,0.4667
1,3,4529,5594,3607,0.6449
2,1,4529,169812,120705,0.7108
2,2,4529,155423,77897,0.5012
2,3,4529,20900,12739,0.6095
3,1,4529,64002,46254,0.7227
3,2,4529,145477,80733,0.555
3,3,4529,31855,19590,0.615
4,1,4529,22372,16887,0.7548
4,2,4529,146661,90309,0.6158
4,3,4529,85040,49584,0.5831
5,1,4529,6369,4925,0.7733
5,2,4529,142693,92920,0.6512
5,3,4529,167848,111001,0.6613
6,1,4529,860,684,0.7956
6,2,4529,68932,47371,0.6872
6,3,4529,180057,124127,0.6894
7,1,4529,100,82,0.8187
7,2,4529,31774,23181,0.7296
7,3,4529,170898,120980,0.7079
8,1,4529,11,10,0.8749
8,2,4529,26356,20308,0.7705
8,3,4529,1775153,1270232,0.7156
9,1,4529,0,0,NA
9,2,4529,2250,1762,0.7828
9,3,4529,1636971,1220317,0.7455
10,1,4529,0,0,NA
10,2,4529,367,236,0.6439
10,3,4529,986971,742731,0.7525
11,1,4529,0,0,NA
11,2,4529,293,166,0.5674
11,3,4529,697071,526786,0.7557
1,1,4543,515451,84653,0.1642
1,2,4543,146333,22057,0.1507
1,3,4543,20870,3549,0.1701
2,1,4543,143635,34757,0.242
2,2,4543,178851,32627,0.1824
2,3,4543,63108,10118,0.1603
3,1,4543,51286,12195,0.2378
3,2,4543,155439,30390,0.1955
3,3,4543,89700,14854,0.1656
4,1,4543,16609,4164,0.2507
4,2,4543,128909,27483,0.2132
4,3,4543,184424,30131,0.1634
5,1,4543,4453,1149,0.2579
5,2,4543,119764,25853,0.2159
5,3,4543,355363,60765,0.171
6,1,4543,560,149,0.2664
6,2,4543,53859,11598,0.2153
6,3,4543,359441,63080,0.1755
7,1,4543,61,17,0.2769
7,2,4543,23044,4873,0.2115
7,3,4543,327580,58784,0.1794
