par_id,exp_dep,age_dep,seasforc_width_wks,R0,seasforce_peak,omega,const_delta
293,1.125,0.375,5,1,0.75,0.004,1.4409314647684732
294,1.25,0.375,5,1,0.75,0.004,1.7061160706545968
295,1.375,0.375,5,1,0.75,0.004,2.0093685326971795
296,1.5,0.375,5,1,0.75,0.004,2.3553493258474707
297,1.625,0.375,5,1,0.75,0.004,2.749376503632598
306,0.875,0.4375,5,1,0.75,0.004,1.3341947516555603
307,1,0.4375,5,1,0.75,0.004,1.599763612611752
308,1.125,0.4375,5,1,0.75,0.004,1.9055129717569406
309,1.25,0.4375,5,1,0.75,0.004,2.25619773281701
310,1.375,0.4375,5,1,0.75,0.004,2.657224092687781
311,1.5,0.4375,5,1,0.75,0.004,3.1147551449592887
312,1.625,0.4375,5,1,0.75,0.004,3.6358235766316978
319,0.625,0.5,5,1,0.75,0.004,1.155437252483474
320,0.75,0.5,5,1,0.75,0.004,1.4067886956291793
321,0.875,0.5,5,1,0.75,0.004,1.6991895750677124
322,1,0.5,5,1,0.75,0.004,2.0374099431507258
323,1.125,0.5,5,1,0.75,0.004,2.426802963171583
324,1.25,0.5,5,1,0.75,0.004,2.8734243348933455
325,1.375,0.5,5,1,0.75,0.004,3.3841592251139994
326,1.5,0.5,5,1,0.75,0.004,3.9668567610807726
332,0.375,0.5625,5,1,0.75,0.004,0.9364663799641786
333,0.5,0.5625,5,1,0.75,0.004,1.1607165659834906
334,0.625,0.5625,5,1,0.75,0.004,1.425468783261931
335,0.75,0.5625,5,1,0.75,0.004,1.7355623301524445
336,0.875,0.5625,5,1,0.75,0.004,2.0962987742493366
337,1,0.5625,5,1,0.75,0.004,2.5135629532685164
338,1.125,0.5625,5,1,0.75,0.004,2.993959091844424
339,1.25,0.5625,5,1,0.75,0.004,3.544958137407999
340,1.375,0.5625,5,1,0.75,0.004,4.175054355067088
346,0.25,0.625,5,1,0.75,0.004,0.8994467527215311
347,0.375,0.625,5,1,0.75,0.004,1.125709821107559
348,0.5,0.625,5,1,0.75,0.004,1.395277039096517
349,0.625,0.625,5,1,0.75,0.004,1.7135310389483245
350,0.75,0.625,5,1,0.75,0.004,2.0862890563905374
351,0.875,0.625,5,1,0.75,0.004,2.51992401290314
352,1,0.625,5,1,0.75,0.004,3.021509968755865
353,1.125,0.625,5,1,0.75,0.004,3.5989857466238666
361,0.25,0.6875,5,1,0.75,0.004,1.0589387224276268
362,0.375,0.6875,5,1,0.75,0.004,1.3253232792057597
363,0.5,0.6875,5,1,0.75,0.004,1.6426907771280925
364,0.625,0.6875,5,1,0.75,0.004,2.017378309203593
365,0.75,0.6875,5,1,0.75,0.004,2.4562346367966965
366,0.875,0.6875,5,1,0.75,0.004,2.9667627425016794
367,1,0.6875,5,1,0.75,0.004,3.5572910752475373
368,1.125,0.6875,5,1,0.75,0.004,4.237166188030077
376,0.25,0.75,5,1,0.75,0.004,1.2262574661069745
377,0.375,0.75,5,1,0.75,0.004,1.5347323992512816
378,0.5,0.75,5,1,0.75,0.004,1.9022458876000343
379,0.625,0.75,5,1,0.75,0.004,2.336136323310476
380,0.75,0.75,5,1,0.75,0.004,2.8443346136002243
381,0.875,0.75,5,1,0.75,0.004,3.435529257840815
391,0.25,0.8125,5,1,0.75,0.004,1.401499498825958
392,0.375,0.8125,5,1,0.75,0.004,1.7540579754521108
393,0.5,0.8125,5,1,0.75,0.004,2.174092090610455
394,0.625,0.8125,5,1,0.75,0.004,2.6699889515886803
395,0.75,0.8125,5,1,0.75,0.004,3.25081285589195
396,0.875,0.8125,5,1,0.75,0.004,3.926493959177883
406,0.25,0.875,5,1,0.75,0.004,1.5851528161394681
407,0.375,0.875,5,1,0.75,0.004,1.9839107625718013
