agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
10,3,30511,2455730,17207,0.007
11,1,30511,20568,4827,0.2347
11,2,30511,137438,22347,0.1626
11,3,30511,1052266,23497,0.0223
1,1,30512,387412,748,0.0019
1,2,30512,112067,179,0.0016
1,3,30512,26061,40,0.0015
2,1,30512,102853,377,0.0037
2,2,30512,129021,291,0.0023
2,3,30512,61045,116,0.0019
3,1,30512,41046,143,0.0035
3,2,30512,121795,290,0.0024
3,3,30512,94372,204,0.0022
4,1,30512,14507,54,0.0038
4,2,30512,107313,302,0.0028
4,3,30512,133576,356,0.0027
5,1,30512,4650,18,0.0038
5,2,30512,132804,404,0.003
5,3,30512,345426,979,0.0028
6,1,30512,670,3,0.0039
6,2,30512,78561,247,0.0031
6,3,30512,392278,1136,0.0029
7,1,30512,84,0,0.0041
7,2,30512,44529,136,0.003
7,3,30512,390402,1062,0.0027
8,1,30512,11,0,0.0028
8,2,30512,53427,168,0.0031
8,3,30512,3895063,10879,0.0028
9,1,30512,108,54,0.503
9,2,30512,21548,5176,0.2402
9,3,30512,4289640,13696,0.0032
10,1,30512,4303,1347,0.313
10,2,30512,85852,18236,0.2124
10,3,30512,1710822,17672,0.0103
11,1,30512,25032,5198,0.2077
11,2,30512,158324,20692,0.1307
11,3,30512,686137,19104,0.0278
1,1,30628,389013,192110,0.4938
1,2,30628,93952,43638,0.4645
1,3,30628,9612,4548,0.4732
2,1,30628,127735,96803,0.7578
2,2,30628,131690,76876,0.5838
2,3,30628,32344,15969,0.49370000000000003
3,1,30628,49103,37344,0.7605
3,2,30628,131671,83321,0.6328
3,3,30628,53516,27207,0.5084
4,1,30628,16451,12822,0.7794
4,2,30628,120238,80424,0.6689
4,3,30628,108205,59583,0.5506
5,1,30628,4675,3724,0.7966
5,2,30628,141939,97012,0.6835
5,3,30628,260603,141059,0.5413
6,1,30628,607,494,0.8144
6,2,30628,81875,56453,0.6895
6,3,30628,298595,161650,0.5414
7,1,30628,67,56,0.8354
7,2,30628,45948,31620,0.6882
7,3,30628,305019,164857,0.5405
8,1,30628,7,6,0.8731
8,2,30628,51984,36106,0.6946
8,3,30628,3229933,1758240,0.5444
9,1,30628,0,0,NA
9,2,30628,6233,3606,0.5785
