agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
10,2,4994,906,145,0.1603
10,3,4994,487337,39165,0.0804
11,1,4994,0,0,NA
11,2,4994,761,181,0.2381
11,3,4994,321749,25964,0.0807
1,1,5219,529380,43490,0.0822
1,2,5219,124987,9243,0.0739
1,3,5219,9771,1037,0.1061
2,1,5219,155337,13598,0.0875
2,2,5219,169155,12809,0.0757
2,3,5219,32303,3045,0.0943
3,1,5219,56098,4473,0.0797
3,2,5219,149732,11161,0.0745
3,3,5219,45204,4208,0.0931
4,1,5219,18660,1573,0.0843
4,2,5219,137591,11201,0.0814
4,3,5219,108922,9310,0.0855
5,1,5219,5147,442,0.0858
5,2,5219,128996,10533,0.0817
5,3,5219,195459,18746,0.0959
6,1,5219,671,59,0.0883
6,2,5219,59939,5185,0.0865
6,3,5219,195423,19549,0.1
7,1,5219,76,7,0.0914
7,2,5219,26837,2551,0.0951
7,3,5219,174713,17987,0.103
8,1,5219,8,1,0.1041
8,2,5219,22556,2343,0.1039
8,3,5219,1752592,181686,0.1037
9,1,5219,0,0,NA
9,2,5219,1938,217,0.1121
9,3,5219,1511375,163848,0.1084
10,1,5219,0,0,NA
10,2,5219,254,30,0.1197
10,3,5219,856674,93921,0.1096
11,1,5219,0,0,NA
11,2,5219,147,23,0.1591
11,3,5219,568992,62720,0.1102
1,1,5234,531618,22308,0.042
1,2,5234,102799,3949,0.0384
1,3,5234,5376,221,0.0411
2,1,5234,169966,4211,0.0248
2,2,5234,149334,4612,0.0309
2,3,5234,17339,627,0.0361
3,1,5234,64693,1051,0.0162
3,2,5234,132787,3939,0.0297
3,3,5234,23144,793,0.0343
4,1,5234,22925,382,0.0167
4,2,5234,137904,3977,0.0288
4,3,5234,55906,1943,0.0348
5,1,5234,6950,113,0.0163
5,2,5234,137351,4624,0.0337
5,3,5234,94511,3479,0.0368
6,1,5234,1000,17,0.0175
6,2,5234,71044,2646,0.0372
6,3,5234,90718,3467,0.0382
7,1,5234,126,3,0.0203
7,2,5234,36447,1360,0.0373
7,3,5234,77315,3016,0.039
8,1,5234,17,1,0.0327
8,2,5234,48858,1680,0.0344
8,3,5234,788942,30801,0.039
9,1,5234,0,0,NA
9,2,5234,7311,441,0.0603
9,3,5234,607863,23865,0.0393
10,1,5234,0,0,NA
10,2,5234,3192,488,0.1528
10,3,5234,317404,12548,0.0395
11,1,5234,0,0,NA
11,2,5234,4125,717,0.1737
11,3,5234,195873,7723,0.0394
1,1,5655,489070,33670,0.0688
1,2,5655,66639,5944,0.0892
1,3,5655,1688,137,0.0813
2,1,5655,188628,13552,0.0718
2,2,5655,121897,9267,0.076
2,3,5655,6991,538,0.077
3,1,5655,75724,4956,0.0654
3,2,5655,121423,9730,0.0801
3,3,5655,11164,848,0.076
4,1,5655,28101,1951,0.0694
4,2,5655,148556,11184,0.0753
4,3,5655,33310,2686,0.0806
5,1,5655,8743,626,0.0716
5,2,5655,160054,14582,0.0911
5,3,5655,68410,6104,0.0892
6,1,5655,1275,97,0.0757
6,2,5655,88677,8970,0.1011
6,3,5655,76268,7197,0.0944
7,1,5655,160,13,0.082
7,2,5655,47551,4971,0.1045
7,3,5655,73972,7202,0.0974
8,1,5655,20,2,0.1023
8,2,5655,58094,5888,0.1014
8,3,5655,827606,82627,0.0998
9,1,5655,0,0,NA
9,2,5655,6912,742,0.1074
9,3,5655,721066,72908,0.1011
10,1,5655,0,0,NA
10,2,5655,1185,185,0.1561
10,3,5655,427668,43731,0.1023
11,1,5655,0,0,NA
11,2,5655,652,151,0.2319
11,3,5655,299626,30764,0.1027
1,1,5669,521137,34631,0.0665
1,2,5669,124525,6600,0.053
1,3,5669,10237,715,0.0698
2,1,5669,153580,9064,0.059
2,2,5669,169190,8943,0.0529
2,3,5669,33955,2076,0.0611
3,1,5669,55781,2734,0.049
3,2,5669,151383,7439,0.0491
3,3,5669,47936,2865,0.0598
4,1,5669,18430,940,0.051
4,2,5669,137001,7311,0.0534
4,3,5669,114429,6245,0.0546
5,1,5669,5153,265,0.0514
5,2,5669,128933,6636,0.0515
5,3,5669,207340,12497,0.0603
6,1,5669,671,35,0.0525
6,2,5669,59463,3165,0.0532
6,3,5669,207611,12999,0.0626
7,1,5669,75,4,0.0545
7,2,5669,26359,1510,0.0573
7,3,5669,185862,11957,0.0643
8,1,5669,8,0,0.0558
8,2,5669,21544,1352,0.0628
8,3,5669,1859123,119943,0.0645
9,1,5669,0,0,NA
9,2,5669,1818,125,0.0688
9,3,5669,1617142,109498,0.0677
10,1,5669,0,0,NA
10,2,5669,235,17,0.072
10,3,5669,917620,62795,0.0684
11,1,5669,0,0,NA
11,2,5669,134,13,0.094
11,3,5669,609844,41956,0.0688
1,1,5684,523030,22243,0.0425
1,2,5684,102439,3562,0.0348
1,3,5684,5616,203,0.0361
2,1,5684,169831,4560,0.0268
2,2,5684,150142,4212,0.0281
2,3,5684,18274,583,0.0319
3,1,5684,65514,1149,0.0175
3,2,5684,135533,3627,0.0268
3,3,5684,24641,750,0.0304
4,1,5684,23136,414,0.0179
4,2,5684,139002,3687,0.0265
4,3,5684,59504,1829,0.0307
5,1,5684,7119,126,0.0177
5,2,5684,138265,4307,0.0311
5,3,5684,101339,3340,0.033
6,1,5684,1020,19,0.0186
6,2,5684,70606,2480,0.0351
6,3,5684,97357,3349,0.0344
7,1,5684,127,3,0.0206
7,2,5684,35700,1265,0.0354
7,3,5684,82979,2923,0.0352
8,1,5684,17,0,0.0291
8,2,5684,45796,1469,0.0321
8,3,5684,842555,29759,0.0353
